GenBank Accession	Contig Header
JBGLOC010000001.1	contig_1
JBGLOC010000002.1	contig_2
JBGLOC010000003.1	contig_3
JBGLOC010000004.1	contig_4
JBGLOC010000005.1	contig_5
JBGLOC010000006.1	contig_6
JBGLOC010000007.1	contig_7
JBGLOC010000008.1	contig_8
JBGLOC010000009.1	contig_9
JBGLOC010000010.1	contig_10
JBGLOC010000011.1	contig_11
JBGLOC010000012.1	contig_12
JBGLOC010000013.1	contig_13
JBGLOC010000014.1	contig_14
JBGLOC010000015.1	contig_15
JBGLOC010000016.1	contig_16
JBGLOC010000017.1	contig_17
JBGLOC010000018.1	contig_18
JBGLOC010000019.1	contig_19
JBGLOC010000020.1	contig_20
JBGLOC010000021.1	contig_21
JBGLOC010000022.1	contig_22
JBGLOC010000023.1	contig_23
JBGLOC010000024.1	contig_24
JBGLOC010000025.1	contig_25
JBGLOC010000026.1	contig_26
JBGLOC010000027.1	contig_27
JBGLOC010000028.1	contig_28
JBGLOC010000029.1	contig_29
JBGLOC010000030.1	contig_30
JBGLOC010000031.1	contig_31
JBGLOC010000032.1	contig_32
JBGLOC010000033.1	contig_33
JBGLOC010000034.1	contig_34
JBGLOC010000035.1	contig_35
JBGLOC010000036.1	contig_36
JBGLOC010000037.1	contig_37
JBGLOC010000038.1	contig_38
JBGLOC010000039.1	contig_39
JBGLOC010000040.1	contig_40
JBGLOC010000041.1	contig_41
JBGLOC010000042.1	contig_42
JBGLOC010000043.1	contig_43
JBGLOC010000044.1	contig_44
JBGLOC010000045.1	contig_45
JBGLOC010000046.1	contig_46
JBGLOC010000047.1	contig_47
JBGLOC010000048.1	contig_48
JBGLOC010000049.1	contig_49
JBGLOC010000050.1	contig_50
JBGLOC010000051.1	contig_51
JBGLOC010000052.1	contig_52
JBGLOC010000053.1	contig_53
JBGLOC010000054.1	contig_54
JBGLOC010000055.1	contig_55
JBGLOC010000056.1	contig_56
JBGLOC010000057.1	contig_57
JBGLOC010000058.1	contig_58
JBGLOC010000059.1	contig_59
JBGLOC010000060.1	contig_60
JBGLOC010000061.1	contig_61
JBGLOC010000062.1	contig_62
JBGLOC010000063.1	contig_63
JBGLOC010000064.1	contig_64
JBGLOC010000065.1	contig_65
JBGLOC010000066.1	contig_66
JBGLOC010000067.1	contig_67
JBGLOC010000068.1	contig_68
JBGLOC010000069.1	contig_69
JBGLOC010000070.1	contig_70
JBGLOC010000071.1	contig_71
JBGLOC010000072.1	contig_72
JBGLOC010000073.1	contig_73
JBGLOC010000074.1	contig_74
JBGLOC010000075.1	contig_75
JBGLOC010000076.1	contig_76
JBGLOC010000077.1	contig_77
JBGLOC010000078.1	contig_78
JBGLOC010000079.1	contig_79
JBGLOC010000080.1	contig_80
JBGLOC010000081.1	contig_81
JBGLOC010000082.1	contig_82
JBGLOC010000083.1	contig_83
JBGLOC010000084.1	contig_84
JBGLOC010000085.1	contig_85
JBGLOC010000086.1	contig_86
JBGLOC010000087.1	contig_87
JBGLOC010000088.1	contig_88
JBGLOC010000089.1	contig_89
JBGLOC010000090.1	contig_90
JBGLOC010000091.1	contig_91
JBGLOC010000092.1	contig_92
JBGLOC010000093.1	contig_93
JBGLOC010000094.1	contig_94
JBGLOC010000095.1	contig_95
JBGLOC010000096.1	contig_96
JBGLOC010000097.1	contig_97
JBGLOC010000098.1	contig_98
JBGLOC010000099.1	contig_99
JBGLOC010000100.1	contig_100
JBGLOC010000101.1	contig_101
JBGLOC010000102.1	contig_102
JBGLOC010000103.1	contig_103
JBGLOC010000104.1	contig_104
JBGLOC010000105.1	contig_105
JBGLOC010000106.1	contig_106
JBGLOC010000107.1	contig_107
JBGLOC010000108.1	contig_108
JBGLOC010000109.1	contig_109
JBGLOC010000110.1	contig_110
JBGLOC010000111.1	contig_111
JBGLOC010000112.1	contig_112
JBGLOC010000113.1	contig_113
JBGLOC010000114.1	contig_114
JBGLOC010000115.1	contig_115
JBGLOC010000116.1	contig_116
JBGLOC010000117.1	contig_117
JBGLOC010000118.1	contig_118
JBGLOC010000119.1	contig_119
JBGLOC010000120.1	contig_120
JBGLOC010000121.1	contig_121
JBGLOC010000122.1	contig_122
JBGLOC010000123.1	contig_123
JBGLOC010000124.1	contig_124
JBGLOC010000125.1	contig_125
JBGLOC010000126.1	contig_126
JBGLOC010000127.1	contig_127
JBGLOC010000128.1	contig_128
JBGLOC010000129.1	contig_129
JBGLOC010000130.1	contig_130
JBGLOC010000131.1	contig_131
JBGLOC010000132.1	contig_132
JBGLOC010000133.1	contig_133
JBGLOC010000134.1	contig_134
JBGLOC010000135.1	contig_135
JBGLOC010000136.1	contig_136
JBGLOC010000137.1	contig_137
JBGLOC010000138.1	contig_138
JBGLOC010000139.1	contig_139
JBGLOC010000140.1	contig_140
JBGLOC010000141.1	contig_141
JBGLOC010000142.1	contig_142
JBGLOC010000143.1	contig_143
JBGLOC010000144.1	contig_144
JBGLOC010000145.1	contig_145
JBGLOC010000146.1	contig_146
JBGLOC010000147.1	contig_147
JBGLOC010000148.1	contig_148
JBGLOC010000149.1	contig_149
JBGLOC010000150.1	contig_150
JBGLOC010000151.1	contig_151
JBGLOC010000152.1	contig_152
JBGLOC010000153.1	contig_153
JBGLOC010000154.1	contig_154
JBGLOC010000155.1	contig_155
JBGLOC010000156.1	contig_156
JBGLOC010000157.1	contig_157
JBGLOC010000158.1	contig_158
JBGLOC010000159.1	contig_159
JBGLOC010000160.1	contig_160
JBGLOC010000161.1	contig_161
JBGLOC010000162.1	contig_162
JBGLOC010000163.1	contig_163
JBGLOC010000164.1	contig_164
JBGLOC010000165.1	contig_165
JBGLOC010000166.1	contig_166
JBGLOC010000167.1	contig_167
JBGLOC010000168.1	contig_168
JBGLOC010000169.1	contig_169
JBGLOC010000170.1	contig_170
JBGLOC010000171.1	contig_171
JBGLOC010000172.1	contig_172
JBGLOC010000173.1	contig_173
JBGLOC010000174.1	contig_174
CM091706.1	mitochondrion
