GenBank Accession	Contig Header
JBGLOB010000001.1	contig_1
JBGLOB010000002.1	contig_2
JBGLOB010000003.1	contig_3
JBGLOB010000004.1	contig_4
JBGLOB010000005.1	contig_5
JBGLOB010000006.1	contig_6
JBGLOB010000007.1	contig_7
JBGLOB010000008.1	contig_8
JBGLOB010000009.1	contig_9
JBGLOB010000010.1	contig_10
JBGLOB010000011.1	contig_11
JBGLOB010000012.1	contig_12
JBGLOB010000013.1	contig_13
JBGLOB010000014.1	contig_14
JBGLOB010000015.1	contig_15
JBGLOB010000016.1	contig_16
JBGLOB010000017.1	contig_17
JBGLOB010000018.1	contig_18
JBGLOB010000019.1	contig_19
JBGLOB010000020.1	contig_20
JBGLOB010000021.1	contig_21
JBGLOB010000022.1	contig_22
JBGLOB010000023.1	contig_23
JBGLOB010000024.1	contig_24
JBGLOB010000025.1	contig_25
JBGLOB010000026.1	contig_26
JBGLOB010000027.1	contig_27
JBGLOB010000028.1	contig_28
JBGLOB010000029.1	contig_29
JBGLOB010000030.1	contig_30
JBGLOB010000031.1	contig_31
JBGLOB010000032.1	contig_32
JBGLOB010000033.1	contig_33
JBGLOB010000034.1	contig_34
JBGLOB010000035.1	contig_35
JBGLOB010000036.1	contig_36
JBGLOB010000037.1	contig_37
JBGLOB010000038.1	contig_38
JBGLOB010000039.1	contig_39
JBGLOB010000040.1	contig_40
JBGLOB010000041.1	contig_41
JBGLOB010000042.1	contig_42
JBGLOB010000043.1	contig_43
JBGLOB010000044.1	contig_44
JBGLOB010000045.1	contig_45
JBGLOB010000046.1	contig_46
JBGLOB010000047.1	contig_47
JBGLOB010000048.1	contig_48
JBGLOB010000049.1	contig_49
JBGLOB010000050.1	contig_50
JBGLOB010000051.1	contig_51
JBGLOB010000052.1	contig_52
JBGLOB010000053.1	contig_53
JBGLOB010000054.1	contig_54
JBGLOB010000055.1	contig_55
JBGLOB010000056.1	contig_56
JBGLOB010000057.1	contig_57
JBGLOB010000058.1	contig_58
JBGLOB010000059.1	contig_59
JBGLOB010000060.1	contig_60
JBGLOB010000061.1	contig_61
JBGLOB010000062.1	contig_62
JBGLOB010000063.1	contig_63
JBGLOB010000064.1	contig_64
JBGLOB010000065.1	contig_65
JBGLOB010000066.1	contig_66
JBGLOB010000067.1	contig_67
JBGLOB010000068.1	contig_68
JBGLOB010000069.1	contig_69
JBGLOB010000070.1	contig_70
JBGLOB010000071.1	contig_71
JBGLOB010000072.1	contig_72
JBGLOB010000073.1	contig_73
JBGLOB010000074.1	contig_74
JBGLOB010000075.1	contig_75
JBGLOB010000076.1	contig_76
JBGLOB010000077.1	contig_77
JBGLOB010000078.1	contig_78
JBGLOB010000079.1	contig_79
JBGLOB010000080.1	contig_80
JBGLOB010000081.1	contig_81
JBGLOB010000082.1	contig_82
JBGLOB010000083.1	contig_83
JBGLOB010000084.1	contig_84
JBGLOB010000085.1	contig_85
JBGLOB010000086.1	contig_86
JBGLOB010000087.1	contig_87
JBGLOB010000088.1	contig_88
JBGLOB010000089.1	contig_89
JBGLOB010000090.1	contig_90
JBGLOB010000091.1	contig_91
JBGLOB010000092.1	contig_92
JBGLOB010000093.1	contig_93
JBGLOB010000094.1	contig_94
JBGLOB010000095.1	contig_95
JBGLOB010000096.1	contig_96
JBGLOB010000097.1	contig_97
JBGLOB010000098.1	contig_98
JBGLOB010000099.1	contig_99
JBGLOB010000100.1	contig_100
JBGLOB010000101.1	contig_101
JBGLOB010000102.1	contig_102
JBGLOB010000103.1	contig_103
JBGLOB010000104.1	contig_104
JBGLOB010000105.1	contig_105
JBGLOB010000106.1	contig_106
JBGLOB010000107.1	contig_107
JBGLOB010000108.1	contig_108
JBGLOB010000109.1	contig_109
JBGLOB010000110.1	contig_110
JBGLOB010000111.1	contig_111
JBGLOB010000112.1	contig_112
JBGLOB010000113.1	contig_113
JBGLOB010000114.1	contig_114
JBGLOB010000115.1	contig_115
JBGLOB010000116.1	contig_116
JBGLOB010000117.1	contig_117
JBGLOB010000118.1	contig_118
JBGLOB010000119.1	contig_119
JBGLOB010000120.1	contig_120
JBGLOB010000121.1	contig_121
JBGLOB010000122.1	contig_122
JBGLOB010000123.1	contig_123
JBGLOB010000124.1	contig_124
JBGLOB010000125.1	contig_125
JBGLOB010000126.1	contig_126
JBGLOB010000127.1	contig_127
JBGLOB010000128.1	contig_128
JBGLOB010000129.1	contig_129
