GenBank Accession	Contig Header
JBGLOD010000001.1	contig_1
JBGLOD010000002.1	contig_2
JBGLOD010000003.1	contig_3
JBGLOD010000004.1	contig_4
JBGLOD010000005.1	contig_5
JBGLOD010000006.1	contig_6
JBGLOD010000007.1	contig_7
JBGLOD010000008.1	contig_8
JBGLOD010000009.1	contig_9
JBGLOD010000010.1	contig_10
JBGLOD010000011.1	contig_11
JBGLOD010000012.1	contig_12
JBGLOD010000013.1	contig_13
JBGLOD010000014.1	contig_14
JBGLOD010000015.1	contig_15
JBGLOD010000016.1	contig_16
JBGLOD010000017.1	contig_17
JBGLOD010000018.1	contig_18
JBGLOD010000019.1	contig_19
JBGLOD010000020.1	contig_20
JBGLOD010000021.1	contig_21
JBGLOD010000022.1	contig_22
JBGLOD010000023.1	contig_23
JBGLOD010000024.1	contig_24
JBGLOD010000025.1	contig_25
JBGLOD010000026.1	contig_26
JBGLOD010000027.1	contig_27
JBGLOD010000028.1	contig_28
JBGLOD010000029.1	contig_29
JBGLOD010000030.1	contig_30
JBGLOD010000031.1	contig_31
JBGLOD010000032.1	contig_32
JBGLOD010000033.1	contig_33
JBGLOD010000034.1	contig_34
JBGLOD010000035.1	contig_35
JBGLOD010000036.1	contig_36
JBGLOD010000037.1	contig_37
JBGLOD010000038.1	contig_38
JBGLOD010000039.1	contig_39
JBGLOD010000040.1	contig_40
JBGLOD010000041.1	contig_41
JBGLOD010000042.1	contig_42
JBGLOD010000043.1	contig_43
JBGLOD010000044.1	contig_44
JBGLOD010000045.1	contig_45
JBGLOD010000046.1	contig_46
JBGLOD010000047.1	contig_47
JBGLOD010000048.1	contig_48
JBGLOD010000049.1	contig_49
JBGLOD010000050.1	contig_50
JBGLOD010000051.1	contig_51
JBGLOD010000052.1	contig_52
JBGLOD010000053.1	contig_53
JBGLOD010000054.1	contig_54
JBGLOD010000055.1	contig_55
JBGLOD010000056.1	contig_56
JBGLOD010000057.1	contig_57
JBGLOD010000058.1	contig_58
JBGLOD010000059.1	contig_59
JBGLOD010000060.1	contig_60
JBGLOD010000061.1	contig_61
JBGLOD010000062.1	contig_62
JBGLOD010000063.1	contig_63
JBGLOD010000064.1	contig_64
JBGLOD010000065.1	contig_65
JBGLOD010000066.1	contig_66
JBGLOD010000067.1	contig_67
JBGLOD010000068.1	contig_68
JBGLOD010000069.1	contig_69
JBGLOD010000070.1	contig_70
JBGLOD010000071.1	contig_71
JBGLOD010000072.1	contig_72
JBGLOD010000073.1	contig_73
JBGLOD010000074.1	contig_74
JBGLOD010000075.1	contig_75
JBGLOD010000076.1	contig_76
JBGLOD010000077.1	contig_77
JBGLOD010000078.1	contig_78
JBGLOD010000079.1	contig_79
JBGLOD010000080.1	contig_80
JBGLOD010000081.1	contig_81
JBGLOD010000082.1	contig_82
JBGLOD010000083.1	contig_83
JBGLOD010000084.1	contig_84
JBGLOD010000085.1	contig_85
JBGLOD010000086.1	contig_86
JBGLOD010000087.1	contig_87
JBGLOD010000088.1	contig_88
JBGLOD010000089.1	contig_89
JBGLOD010000090.1	contig_90
JBGLOD010000091.1	contig_91
JBGLOD010000092.1	contig_92
JBGLOD010000093.1	contig_93
JBGLOD010000094.1	contig_94
JBGLOD010000095.1	contig_95
JBGLOD010000096.1	contig_96
JBGLOD010000097.1	contig_97
JBGLOD010000098.1	contig_98
JBGLOD010000099.1	contig_99
JBGLOD010000100.1	contig_100
JBGLOD010000101.1	contig_101
JBGLOD010000102.1	contig_102
JBGLOD010000103.1	contig_103
JBGLOD010000104.1	contig_104
JBGLOD010000105.1	contig_105
JBGLOD010000106.1	contig_106
JBGLOD010000107.1	contig_107
JBGLOD010000108.1	contig_108
JBGLOD010000109.1	contig_109
JBGLOD010000110.1	contig_110
JBGLOD010000111.1	contig_111
JBGLOD010000112.1	contig_112
JBGLOD010000113.1	contig_113
JBGLOD010000114.1	contig_114
JBGLOD010000115.1	contig_115
JBGLOD010000116.1	contig_116
JBGLOD010000117.1	contig_117
JBGLOD010000118.1	contig_118
JBGLOD010000119.1	contig_119
JBGLOD010000120.1	contig_120
JBGLOD010000121.1	contig_121
JBGLOD010000122.1	contig_122
JBGLOD010000123.1	contig_123
JBGLOD010000124.1	contig_124
JBGLOD010000125.1	contig_125
JBGLOD010000126.1	contig_126
JBGLOD010000127.1	contig_127
JBGLOD010000128.1	contig_128
JBGLOD010000129.1	contig_129
JBGLOD010000130.1	contig_130
JBGLOD010000131.1	contig_131
JBGLOD010000132.1	contig_132
JBGLOD010000133.1	contig_133
JBGLOD010000134.1	contig_134
JBGLOD010000135.1	contig_135
JBGLOD010000136.1	contig_136
JBGLOD010000137.1	contig_137
JBGLOD010000138.1	contig_138
JBGLOD010000139.1	contig_139
JBGLOD010000140.1	contig_140
JBGLOD010000141.1	contig_141
JBGLOD010000142.1	contig_142
JBGLOD010000143.1	contig_143
JBGLOD010000144.1	contig_144
JBGLOD010000145.1	contig_145
JBGLOD010000146.1	contig_146
JBGLOD010000147.1	contig_147
JBGLOD010000148.1	contig_148
JBGLOD010000149.1	contig_149
JBGLOD010000150.1	contig_150
JBGLOD010000151.1	contig_151
JBGLOD010000152.1	contig_152
JBGLOD010000153.1	contig_153
JBGLOD010000154.1	contig_154
JBGLOD010000155.1	contig_155
JBGLOD010000156.1	contig_156
JBGLOD010000157.1	contig_157
JBGLOD010000158.1	contig_158
JBGLOD010000159.1	contig_159
JBGLOD010000160.1	contig_160
JBGLOD010000161.1	contig_161
JBGLOD010000162.1	contig_162
JBGLOD010000163.1	contig_163
JBGLOD010000164.1	contig_164
JBGLOD010000165.1	contig_165
JBGLOD010000166.1	contig_166
JBGLOD010000167.1	contig_167
JBGLOD010000168.1	contig_168
JBGLOD010000169.1	contig_169
JBGLOD010000170.1	contig_170
JBGLOD010000171.1	contig_171
JBGLOD010000172.1	contig_172
JBGLOD010000173.1	contig_173
JBGLOD010000174.1	contig_174
JBGLOD010000175.1	contig_175
JBGLOD010000176.1	contig_176
JBGLOD010000177.1	contig_177
JBGLOD010000178.1	contig_178
JBGLOD010000179.1	contig_179
JBGLOD010000180.1	contig_180
JBGLOD010000181.1	contig_181
JBGLOD010000182.1	contig_182
JBGLOD010000183.1	contig_183
JBGLOD010000184.1	contig_184
JBGLOD010000185.1	contig_185
JBGLOD010000186.1	contig_186
JBGLOD010000187.1	contig_187
JBGLOD010000188.1	contig_188
JBGLOD010000189.1	contig_189
JBGLOD010000190.1	contig_190
JBGLOD010000191.1	contig_191
JBGLOD010000192.1	contig_192
JBGLOD010000193.1	contig_193
JBGLOD010000194.1	contig_194
JBGLOD010000195.1	contig_195
JBGLOD010000196.1	contig_196
JBGLOD010000197.1	contig_197
JBGLOD010000198.1	contig_198
JBGLOD010000199.1	contig_199
JBGLOD010000200.1	contig_200
JBGLOD010000201.1	contig_201
JBGLOD010000202.1	contig_202
JBGLOD010000203.1	contig_203
JBGLOD010000204.1	contig_204
JBGLOD010000205.1	contig_205
JBGLOD010000206.1	contig_206
JBGLOD010000207.1	contig_207
JBGLOD010000208.1	contig_208
JBGLOD010000209.1	contig_209
JBGLOD010000210.1	contig_210
JBGLOD010000211.1	contig_211
JBGLOD010000212.1	contig_212
JBGLOD010000213.1	contig_213
JBGLOD010000214.1	contig_214
JBGLOD010000215.1	contig_215
JBGLOD010000216.1	contig_216
JBGLOD010000217.1	contig_217
JBGLOD010000218.1	contig_218
JBGLOD010000219.1	contig_219
JBGLOD010000220.1	contig_220
JBGLOD010000221.1	contig_222
JBGLOD010000222.1	contig_224
JBGLOD010000223.1	contig_226
JBGLOD010000224.1	contig_227
JBGLOD010000225.1	contig_228
JBGLOD010000226.1	contig_229
JBGLOD010000227.1	contig_230
JBGLOD010000228.1	contig_231
JBGLOD010000229.1	contig_232
JBGLOD010000230.1	contig_233
JBGLOD010000231.1	contig_234
JBGLOD010000232.1	contig_235
JBGLOD010000233.1	contig_236
JBGLOD010000234.1	contig_237
JBGLOD010000235.1	contig_238
JBGLOD010000236.1	contig_239
JBGLOD010000237.1	contig_240
JBGLOD010000238.1	contig_241
JBGLOD010000239.1	contig_242
JBGLOD010000240.1	contig_243
JBGLOD010000241.1	contig_244
JBGLOD010000242.1	contig_246
JBGLOD010000243.1	contig_247
JBGLOD010000244.1	contig_248
JBGLOD010000245.1	contig_249
JBGLOD010000246.1	contig_250
JBGLOD010000247.1	contig_251
JBGLOD010000248.1	contig_253
JBGLOD010000249.1	contig_254
JBGLOD010000250.1	contig_255
JBGLOD010000251.1	contig_256
JBGLOD010000252.1	contig_257
JBGLOD010000253.1	contig_258
JBGLOD010000254.1	contig_259
JBGLOD010000255.1	contig_260
JBGLOD010000256.1	contig_261
JBGLOD010000257.1	contig_262
JBGLOD010000258.1	contig_263
JBGLOD010000259.1	contig_264
JBGLOD010000260.1	contig_265
CM091713.1	mitochondrion
