Orthogroup	acer	afen	alor	amil	apal	apoc	cjar	cnat	dcyl	dper	dspp	ffun	gasp	gfas	mcap	ofav	pcom	pdae	plob	pmea	pver	spis	ssid
OG0032695	FUN_000011-T1																						
OG0032696	FUN_000058-T1																						
OG0032697	FUN_000064-T1																						
OG0032698	FUN_000111-T1																						
OG0032699	FUN_000127-T1																						
OG0032700	FUN_000128-T1																						
OG0032701	FUN_000134-T1																						
OG0032702	FUN_000142-T1																						
OG0032703	FUN_000230-T1																						
OG0032704	FUN_000304-T1																						
OG0032705	FUN_000312-T1																						
OG0032706	FUN_000324-T1																						
OG0032707	FUN_000344-T1																						
OG0032708	FUN_000351-T1																						
OG0032709	FUN_000353-T1																						
OG0032710	FUN_000356-T1																						
OG0032711	FUN_000369-T1																						
OG0032712	FUN_000397-T1																						
OG0032713	FUN_000404-T1																						
OG0032714	FUN_000405-T1																						
OG0032715	FUN_000419-T1																						
OG0032716	FUN_000478-T1																						
OG0032717	FUN_000494-T1																						
OG0032718	FUN_000504-T1																						
OG0032719	FUN_000506-T1																						
OG0032720	FUN_000547-T1																						
OG0032721	FUN_000548-T1																						
OG0032722	FUN_000552-T1																						
OG0032723	FUN_000555-T1																						
OG0032724	FUN_000558-T1																						
OG0032725	FUN_000559-T1																						
OG0032726	FUN_000560-T1																						
OG0032727	FUN_000579-T1																						
OG0032728	FUN_000584-T1																						
OG0032729	FUN_000585-T1																						
OG0032730	FUN_000599-T1																						
OG0032731	FUN_000661-T1																						
OG0032732	FUN_000673-T1																						
OG0032733	FUN_000685-T1																						
OG0032734	FUN_000704-T1																						
OG0032735	FUN_000705-T1																						
OG0032736	FUN_000743-T1																						
OG0032737	FUN_000766-T1																						
OG0032738	FUN_000783-T1																						
OG0032739	FUN_000807-T1																						
OG0032740	FUN_000880-T1																						
OG0032741	FUN_000892-T1																						
OG0032742	FUN_001003-T1																						
OG0032743	FUN_001010-T1																						
OG0032744	FUN_001022-T1																						
OG0032745	FUN_001077-T1																						
OG0032746	FUN_001081-T1																						
OG0032747	FUN_001136-T1																						
OG0032748	FUN_001147-T1																						
OG0032749	FUN_001149-T1																						
OG0032750	FUN_001156-T1																						
OG0032751	FUN_001206-T1																						
OG0032752	FUN_001212-T1																						
OG0032753	FUN_001221-T1																						
OG0032754	FUN_001242-T1																						
OG0032755	FUN_001274-T1																						
OG0032756	FUN_001289-T1																						
OG0032757	FUN_001304-T1																						
OG0032758	FUN_001316-T1																						
OG0032759	FUN_001318-T1																						
OG0032760	FUN_001342-T1																						
OG0032761	FUN_001359-T1																						
OG0032762	FUN_001385-T2																						
OG0032763	FUN_001388-T1																						
OG0032764	FUN_001452-T1																						
OG0032765	FUN_001479-T1																						
OG0032766	FUN_001531-T1																						
OG0032767	FUN_001533-T1																						
OG0032768	FUN_001535-T1																						
OG0032769	FUN_001556-T1																						
OG0032770	FUN_001612-T1																						
OG0032771	FUN_001624-T1																						
OG0032772	FUN_001631-T1																						
OG0032773	FUN_001649-T1																						
OG0032774	FUN_001658-T1																						
OG0032775	FUN_001706-T1																						
OG0032776	FUN_001717-T1																						
OG0032777	FUN_001728-T1																						
OG0032778	FUN_001733-T1																						
OG0032779	FUN_001760-T1																						
OG0032780	FUN_001778-T1																						
OG0032781	FUN_001787-T1																						
OG0032782	FUN_001804-T1																						
OG0032783	FUN_001852-T1																						
OG0032784	FUN_001891-T1																						
OG0032785	FUN_001903-T1																						
OG0032786	FUN_001920-T1																						
OG0032787	FUN_001937-T1																						
OG0032788	FUN_001939-T1																						
OG0032789	FUN_002014-T1																						
OG0032790	FUN_002015-T1																						
OG0032791	FUN_002041-T1																						
OG0032792	FUN_002069-T1																						
OG0032793	FUN_002093-T1																						
OG0032794	FUN_002122-T1																						
OG0032795	FUN_002158-T1																						
OG0032796	FUN_002179-T1																						
OG0032797	FUN_002192-T1																						
OG0032798	FUN_002197-T1																						
OG0032799	FUN_002215-T1																						
OG0032800	FUN_002217-T1																						
OG0032801	FUN_002252-T1																						
OG0032802	FUN_002264-T1																						
OG0032803	FUN_002308-T1																						
OG0032804	FUN_002311-T1																						
OG0032805	FUN_002316-T1																						
OG0032806	FUN_002327-T1																						
OG0032807	FUN_002332-T1																						
OG0032808	FUN_002337-T1																						
OG0032809	FUN_002339-T1																						
OG0032810	FUN_002341-T1																						
OG0032811	FUN_002439-T1																						
OG0032812	FUN_002441-T1																						
OG0032813	FUN_002464-T1																						
OG0032814	FUN_002469-T1																						
OG0032815	FUN_002494-T1																						
OG0032816	FUN_002547-T1																						
OG0032817	FUN_002577-T1																						
OG0032818	FUN_002591-T1																						
OG0032819	FUN_002593-T1																						
OG0032820	FUN_002649-T1																						
OG0032821	FUN_002672-T1																						
OG0032822	FUN_002684-T1																						
OG0032823	FUN_002700-T1																						
OG0032824	FUN_002701-T1																						
OG0032825	FUN_002728-T1																						
OG0032826	FUN_002802-T1																						
OG0032827	FUN_002889-T1																						
OG0032828	FUN_002894-T1																						
OG0032829	FUN_003027-T1																						
OG0032830	FUN_003032-T1																						
OG0032831	FUN_003033-T1																						
OG0032832	FUN_003067-T1																						
OG0032833	FUN_003081-T1																						
OG0032834	FUN_003101-T1																						
OG0032835	FUN_003166-T1																						
OG0032836	FUN_003171-T1																						
OG0032837	FUN_003202-T1																						
OG0032838	FUN_003227-T1																						
OG0032839	FUN_003286-T1																						
OG0032840	FUN_003323-T1																						
OG0032841	FUN_003394-T1																						
OG0032842	FUN_003396-T1																						
OG0032843	FUN_003409-T1																						
OG0032844	FUN_003445-T1																						
OG0032845	FUN_003448-T1																						
OG0032846	FUN_003493-T1																						
OG0032847	FUN_003505-T1																						
OG0032848	FUN_003537-T1																						
OG0032849	FUN_003550-T1																						
OG0032850	FUN_003618-T1																						
OG0032851	FUN_003651-T1																						
OG0032852	FUN_003660-T1																						
OG0032853	FUN_003661-T1																						
OG0032854	FUN_003668-T1																						
OG0032855	FUN_003671-T1																						
OG0032856	FUN_003674-T1																						
OG0032857	FUN_003684-T1																						
OG0032858	FUN_003698-T1																						
OG0032859	FUN_003710-T1																						
OG0032860	FUN_003718-T1																						
OG0032861	FUN_003775-T1																						
OG0032862	FUN_003802-T1																						
OG0032863	FUN_003804-T1																						
OG0032864	FUN_003809-T1																						
OG0032865	FUN_003828-T1																						
OG0032866	FUN_003838-T1																						
OG0032867	FUN_003845-T1																						
OG0032868	FUN_003858-T1																						
OG0032869	FUN_003868-T1																						
OG0032870	FUN_003892-T1																						
OG0032871	FUN_003904-T1																						
OG0032872	FUN_003908-T1																						
OG0032873	FUN_003936-T1																						
OG0032874	FUN_003959-T1																						
OG0032875	FUN_003966-T1																						
OG0032876	FUN_003991-T1																						
OG0032877	FUN_003993-T1																						
OG0032878	FUN_003999-T1																						
OG0032879	FUN_004011-T1																						
OG0032880	FUN_004035-T1																						
OG0032881	FUN_004039-T1																						
OG0032882	FUN_004066-T1																						
OG0032883	FUN_004072-T1																						
OG0032884	FUN_004095-T1																						
OG0032885	FUN_004097-T1																						
OG0032886	FUN_004165-T1																						
OG0032887	FUN_004245-T1																						
OG0032888	FUN_004257-T1																						
OG0032889	FUN_004275-T1																						
OG0032890	FUN_004299-T1																						
OG0032891	FUN_004301-T1																						
OG0032892	FUN_004376-T1																						
OG0032893	FUN_004379-T1																						
OG0032894	FUN_004387-T1																						
OG0032895	FUN_004393-T1																						
OG0032896	FUN_004401-T1																						
OG0032897	FUN_004478-T1																						
OG0032898	FUN_004508-T1																						
OG0032899	FUN_004590-T1																						
OG0032900	FUN_004670-T1																						
OG0032901	FUN_004695-T1																						
OG0032902	FUN_004736-T1																						
OG0032903	FUN_004747-T1																						
OG0032904	FUN_004777-T1																						
OG0032905	FUN_004819-T1																						
OG0032906	FUN_004867-T1																						
OG0032907	FUN_004891-T1																						
OG0032908	FUN_004899-T1																						
OG0032909	FUN_004930-T1																						
OG0032910	FUN_004938-T1																						
OG0032911	FUN_004947-T1																						
OG0032912	FUN_004979-T1																						
OG0032913	FUN_005095-T1																						
OG0032914	FUN_005122-T1																						
OG0032915	FUN_005153-T1																						
OG0032916	FUN_005160-T1																						
OG0032917	FUN_005208-T1																						
